descriptif,nom_plage,commune,photo,nature_baignade,grand_territoire,source,date_ouverture,date_fermeture,date_detail,id,lon,lat
,Plage du Rey,SOORTS HOSSEGOR,,Plage lacustre,Sud Landes,,,,,106,-1.4277969999999915,43.681256000045934
,Plage Centrale,ONDRES,,Plage oceane,Sud Landes,,,,,117,-1.4875890000000025,43.577310000046424
,Plage de Mayarco,SAINT JEAN DE LUZ,,Plage oceane,Côte Basque,,,,,143,-1.624899999999999,43.41849800004718
,Plage de Lafitenia,SAINT JEAN DE LUZ,,Plage oceane,Côte Basque,,,,,144,-1.62804,43.41405500004722
,Plage d'Erromardie,SAINT JEAN DE LUZ,,Plage oceane,Côte Basque,,,,,145,-1.6403910000000057,43.40749100004728
,Plage de Socoa,CIBOURE,,Plage oceane,Côte Basque,,,,,148,-1.6835219999999955,43.39018700004734
,Plage du Fort de Socoa,CIBOURE,,Plage oceane,Côte Basque,,,,,149,-1.6824059999999967,43.39609100004728
,Plage du lac,SAINT PEE SUR NIVELLE,,Plage lacustre,Côte Basque,,,,,152,-1.5235139999999914,43.34682100004752
"Le bassin de baignade d'Audenge, situé à l'entrée du port, est une retenue d'eau de mer qui prend la forme d'une piscine extérieure à 3 bassins de niveaux différents pour petits et grands.
Le long de ces bassins, les visiteurs peuvent profiter d'espaces de sable, d'herbe ou d'un caillebotis en bois pour leur détente.
Pour les enfants, une aire de jeux aménagée leur permet de se dépenser et de s'amuser en toute sécurité. En juillet et août, des leçons de natations y sont dispensées par un MNS.
Un accès aux personnes handicapés et à mobilité réduite est possible grâce à une rampe d'accès.
Enfin pour tous ceux qui le souhaitent, en famille ou seul à partir de 15 ans, retrouvez tout un programme d'activités ludiques et sportives avec CAP 33 en juillet-août.",Bassin de Baignade Emile Ortel ,AUDENGE,http://aquitaine.media.tourinsoft.eu/upload/Bassin-de-baignade-Audenge.jpg,Baignade amenagee,Bassin d'Arcachon ,SIRTAQUI,,,,45,-1.0208003999999997,44.6782775000408
"Situé en bordure du littoral et à quelques mètres du Domaine de Certes, le bassin de baignade de Lanton est un plan d'eau de mer aménagé.
Une agréable plage de sable permettra aux grands comme aux plus petits de s'installer comme en bord de mer et d'apprécier des moments de baignade en toute sécurité.
L'accueil des personnes à mobilité réduite y est également possible puisque le site bénéficie depuis plusieurs années du label ""Handiplage""ainsi que d'un Tiralo.
La baignade est surveillée en saison estivale par des maîtres nageurs sauveteurs, et des activités ludiques et sportives sont proposées à tous ceux qui le souhaitent, en famille ou seul à partir de 15 ans, avec CAP 33.",Bassin de Baignade de Lanton ,LANTON,http://aquitaine.media.tourinsoft.eu/upload/Bassin-de-baignade-Lanton.jpg,Baignade amenagee,Bassin d'Arcachon ,SIRTAQUI,,,,42,-1.0442590000000003,44.70006540004064
"Sur la zone du port de plaisance et de la Réserve Ornithologique du Teich, en bordure de L’Eyre se trouve la baignade aménagée, surveillée en saison estivale uniquement, lieu idéal pour les familles. A proximité se trouve des espaces pour pique-niquer et des jeux pour les petits. L’accès des personnes handicapées est facilité grâce aux places de parking réservées, d'un chemin d’accès en caillebotis jusqu’au poste de MNS, d'un acheminement jusqu’à l’eau grâce à des « tapis de sol » plastiques, escamotables et antidérapants ; mais aussi des toilettes et table de pique-nique avec emplacement handicapé.",Bassin de baignade du Teich,LE TEICH,http://aquitaine.media.tourinsoft.eu/upload/Baignade-amenagee-Le-Teich.jpg,Baignade amenagee,Bassin d'Arcachon ,SIRTAQUI,,,,46,-1.0151193999999997,44.64035320004098
"Les Estagnots, c'est probablement la plage la plus connue de Seignosse. Mitoyenne d'Hossegor, elle accueille chaque année les compétitions mondiales de surf. Très accessible, avec un point de vue fabuleux sur les Pyrénées, elle est bien équipée : poste de secours, écoles de surf, bar/restaurant, sanitaires, douches et consignes. 

Plage labellisée Pavillon bleu.
Équipée d'un tiralo.

Consultez la webcam pour voir l'état de la mer et téléchargez l'appli PLAGES LANDES pour le direct de la météo et des conditions de surf.",Plage des Estagnots,SEIGNOSSE,http://aquitaine.media.tourinsoft.eu/upload/Plage-des-Estagnots-2018--Seignosse-tourisme--16-.JPG,Plage oceane,Sud Landes,SIRTAQUI,,,,102,-1.4406680999999995,43.687006500045904
"Les Bourdaines, c'est le spot un peu caché, réservé aux connaisseurs, la plage est vaste, moins fréquentée que ses voisines du Penon et des Estagnots. Sur place, vous trouverez des écoles de surf, un bar/restaurant, le poste de secours des sanitaires et des douches.


Consultez la webcam pour voir l'état de la mer et téléchargez l'appli PLAGES LANDES pour le direct de la météo et des conditions de surf.",Plage des Bourdaines,SEIGNOSSE,http://aquitaine.media.tourinsoft.eu/upload/Plage-des-Bourdaines-2018--Seignosse-tourisme--8-.JPG,Plage oceane,Sud Landes,SIRTAQUI,,,,101,-1.4393376999999996,43.69777400004585
